section_id,machine_id,task_id,variable_cost
1,1,1,43.0
1,1,2,43.64
1,1,3,44.29
1,1,4,44.93
1,1,5,45.58
1,1,6,46.23
1,1,7,46.87
1,1,8,47.52
1,1,9,48.16
1,1,10,48.8
1,2,1,46.0
1,2,2,46.69
1,2,3,47.38
1,2,4,48.07
1,2,5,48.76
1,2,6,49.45
1,2,7,50.14
1,2,8,50.83
1,2,9,51.52
1,2,10,52.21
1,3,1,49.0
1,3,2,49.73
1,3,3,50.47
1,3,4,51.2
1,3,5,51.94
1,3,6,52.67
1,3,7,53.41
1,3,8,54.14
1,3,9,54.88
1,3,10,55.62
2,1,1,48.0
2,1,2,48.72
2,1,3,49.44
2,1,4,50.16
2,1,5,50.88
2,1,6,51.6
2,1,7,52.32
2,1,8,53.04
2,1,9,53.76
2,1,10,54.48
2,2,1,51.0
2,2,2,51.76
2,2,3,52.53
2,2,4,53.29
2,2,5,54.06
2,2,6,54.82
2,2,7,55.59
2,2,8,56.35
2,2,9,57.12
2,2,10,57.88
2,3,1,54.0
2,3,2,54.81
2,3,3,55.62
2,3,4,56.43
2,3,5,57.24
2,3,6,58.05
2,3,7,58.86
2,3,8,59.67
2,3,9,60.48
2,3,10,61.29
2,4,1,57.0
2,4,2,57.85
2,4,3,58.71
2,4,4,59.56
2,4,5,60.42
2,4,6,61.27
2,4,7,62.13
2,4,8,62.98
2,4,9,63.84
2,4,10,64.7
3,1,1,56.0
3,1,2,56.84
3,1,3,57.68
3,1,4,58.52
3,1,5,59.36
3,1,6,60.2
3,1,7,61.04
3,1,8,61.88
3,1,9,62.72
3,1,10,63.56
3,2,1,59.0
3,2,2,59.88
3,2,3,60.77
3,2,4,61.65
3,2,5,62.54
3,2,6,63.42
3,2,7,64.31
3,2,8,65.19
3,2,9,66.08
3,2,10,66.97
